NO,Paper Title,Year,Venue,Keywords,Objective,Methodology,Results,
1,Combining Fiber Bragg Grating and Artificial Intelligence Technologies for Supporting Epidural Procedures,2024,IEEE TBME,"AI, epidural puncture, FBG, force sensing, LOR, SVM",เพื่อตรวจหาเหตุการณ์ Loss of Resistance (LOR) อัตโนมัติระหว่างการฉีดยาบล็อกหลัง,"ใช้เซนเซอร์ FBG แบบ Flexible Cap เก็บข้อมูลแรงต้านเนื้อเยื่อ แล้วใช้ Machine Learning (SVM, KNN, Decision Tree) ทำ Automatic Labeling และ Identification",สามารถระบุเหตุการณ์ LOR ได้แม่นยำสูง (Recall 97% ในบาง Model) ช่วยลดความเสี่ยงในการทำหัตถการผิดพลาด,
2,Spinal Column Needle With a Force Feedback: Introductory Study,2024,ICETEMS,"embedded sensors, back pain, tactile feedback, sensing needle",พัฒนาเข็มฉีดยาไขสันหลังที่สามารถส่งข้อมูลแรงต้านกลับมาให้แพทย์รับรู้ได้,ติดตั้ง Load Cell ขนาดจิ๋วที่ก้านเข็ม เชื่อมต่อกับ Arduino เพื่อแปลงค่าแรงต้านทานจากเนื้อเยื่อแต่ละชั้นเป็นสัญญาณดิจิทัลแสดงผลบนจอ,ช่วยให้แพทย์แยกแยะเนื้อเยื่อ (เช่น Ligamentum Flavum) ได้ชัดเจน ลดโอกาสแทงเข็มลึกเกินไปจนโดนเส้นประสาท,
3,Design and Validation of a High-Sensitivity FBG-Based Triaxial Force Sensor With Serially Configured Flexures for Percutaneous Puncture,2025,IEEE TIM,"Fiber Bragg grating (FBG), percutaneous puncture, triaxial force sensor",ออกแบบเซนเซอร์วัดแรง 3 แกนความไวสูงสำหรับหุ่นยนต์ผ่าตัดแทงเข็ม,ใช้โครงสร้าง Flexure แบบ L-shaped levers ร่วมกับเส้นใยนำแสง FBG และใช้อัลกอริทึม Backpropagation Neural Network (BPNN) ในการถอดรหัสแรง (Decoupling),วัดแรงได้ละเอียดถึงระดับมิลลินิวตัน มีค่าความผิดพลาดจากการรบกวนระหว่างแกน (Coupling Error) ต่ำกว่า 3%,
4,Testing Effectiveness of a Teaching Tool That Uses a Non-Contact Sensor for Preventing Lower Back Pain,2019,IIAI-AAI,"non-contact sensor, self-training, low back pain prevention, nursing students",พัฒนาเครื่องมือช่วยฝึกท่าทางเพื่อป้องกันอาการปวดหลังในบุคลากรทางการแพทย์,ใช้เซนเซอร์แบบไม่สัมผัส (Infrared/Ultrasonic) ตรวจจับองศาการก้มตัว หากก้มเกิน 30 องศา ระบบจะส่งสัญญาณเสียงเตือน (Audio Alert),"กลุ่มตัวอย่างกว่า 70% มีสติในการจัดท่าทาง ""ฐานการรับน้ำหนักที่กว้าง"" ได้ดีขึ้น ช่วยลดอุบัติการณ์ปวดหลังเรื้อรัง",
5,CNN-Based Methods for Object Recognition With High-Resolution Tactile Sensors,2019,IEEE Sensors Journal,"Tactile sensors, object recognition, deep learning",จำแนกวัตถุทางการแพทย์ผ่านการสัมผัสของหุ่นยนต์ (Tactile Images),"พัฒนา CNN เฉพาะทางชื่อ ""TactNet"" และเปรียบเทียบกับ Transfer Learning (VGG16) โดยใช้ข้อมูลจากเซนเซอร์แรงดันความละเอียดสูง",TactNet ให้ผลแม่นยำสูงและประมวลผลเร็ว (Real-time) สามารถแยกแยะวัตถุที่มีรูปร่างต่างกันได้แม้จะมองไม่เห็นด้วยตา,
6,Assessing the Risk of Low Back Pain and Injury via Inertial and Barometric Sensors,2020,IEEE TII,"Activity recognition, AI, wearable sensors, risk assessment",ประเมินความปลอดภัยในการยกของหนักของคนงานในคลังสินค้า,ใช้เสื้อกั๊กอัจฉริยะติดเซนเซอร์ความเร่ง (IMU) และเซนเซอร์วัดความดันอากาศ (Barometer) แล้วใช้ Neural Classifier จำแนกท่าทาง,ระบบสามารถคัดแยกพฤติกรรมการยกของที่อันตรายออกจากท่าทางปกติได้แบบอัตโนมัติด้วยความแม่นยำสูง,
7,A Pain Intensity Assessment Method Based on High-Density Flexible Tactile Sensor Array,2026,IEEE MEMS,"Pulse wave, Sensor array, Pain perception",ตรวจวัดระดับความเจ็บปวดผ่านการวิเคราะห์สัญญาณชีพจรที่ข้อมือ,ใช้ Flexible Tactile Sensor Array ความหนาแน่นสูง จับสัญญาณคลื่นชีพจร (Pulse Wave) และวิเคราะห์การเปลี่ยนแปลงของรูปร่างคลื่นเมื่อมีความเจ็บปวด,พบความสัมพันธ์ทางสถิติที่ชัดเจนระหว่างลักษณะชีพจรกับระดับความเจ็บปวด (VAS Score) ใช้เป็นดัชนีวัดความปวดที่เป็นรูปธรรม,
8,Development and Performance Evaluation of an Optical Tactile Sensor Using Transparent Flexible Resin,2024,SICE,"Tactile sensor, Force sensor, Optical device, Transparent polymer",พัฒนาเซนเซอร์สัมผัสราคาถูกที่มีความนุ่มนวลคล้ายนิ้วมนุษย์,ใช้หลักการสะท้อนแสงภายในวัสดุเรซินโปร่งใสที่ยืดหยุ่นได้ เมื่อมีแรงกด แสงจะรั่วไหลออกและถูกตรวจจับโดย Photo-detector,"ได้เซนเซอร์ต้นทุนต่ำ (ไม่เกิน 1,200 บาท) ที่มีความทนทานสูงและสามารถวัดแรงกดได้ละเอียดเพียงพอสำหรับการหยิบจับ",
9,Foldable Forceps with Tactile Sensor Array for Tissue Identification and Suture Needle Status Detection for Surgical Robot,2023,ICICN,"foldable forceps, piezoresistive effect, surgical robot",สร้างคีมผ่าตัดที่พับได้และมีเซนเซอร์ตรวจจับเนื้อเยื่อ/เข็มเย็บผ้า,ออกแบบกลไก Linkage ให้พับสอดผ่านท่อขนาดเล็กได้ และฝัง Piezoresistive Sensor Array 4x8 จุดที่ปลายคีม,สามารถคลี่ออกเพื่อสแกนหาตำแหน่งเนื้องอกหรือเข็มเย็บผ้าที่ตกค้างในช่องท้องได้ครอบคลุมพื้นที่กว้าง,
10,Total Force Analysis and Safety Enhancing for Operating Both Guidewire and Catheter in Endovascular Surgery,2021,IEEE Sensors Journal,"Total force analysis, safety enhancing, endovascular surgery",เพื่อวิเคราะห์แรงรวมที่เกิดขึ้นกับเครื่องมือผ่าตัดหลอดเลือดและสร้างระบบตรวจสอบการชนเพื่อเพิ่มความปลอดภัย,วิเคราะห์แรงต้านทานด้วยการสร้างแบบจำลองทางคณิตศาสตร์ ร่วมกับการใช้เซนเซอร์วัดแรงที่ทำจากยางไวต่อแรงกด (Pressure-sensitive rubber) ติดตั้งที่ปลายสายสวน,สามารถตรวจจับแรงกระแทกระหว่างปลายสายสวนกับผนังหลอดเลือดได้อย่างแม่นยำ และช่วยเพิ่มความเชื่อมั่นในการควบคุมแรงสะท้อนกลับ (Haptic feedback) ให้กับแพทย์,
